athlete_code,stage_code,result_rank,result,result_type
1563390,TTEMSINGLES-----------8FNL000100--,,4,POINTS
1803711,TTEMSINGLES-----------8FNL000100--,,1,POINTS
1931099,TTEMSINGLES-----------8FNL000700--,,4,POINTS
1879343,TTEMSINGLES-----------8FNL000700--,,1,POINTS
1930828,TTEMSINGLES-----------8FNL000800--,,0,POINTS
1902295,TTEMSINGLES-----------8FNL000800--,,4,POINTS
1936418,TTEMSINGLES-----------QFNL000200--,,0,POINTS
1958377,TTEMSINGLES-----------QFNL000200--,,4,POINTS
1889177,TTEMSINGLES-----------QFNL000300--,,4,POINTS
1800795,TTEMSINGLES-----------QFNL000300--,,3,POINTS
1931099,TTEMSINGLES-----------QFNL000400--,,3,POINTS
1902295,TTEMSINGLES-----------QFNL000400--,,4,POINTS
1563390,TTEMSINGLES-----------QFNL000100--,,4,POINTS
1902703,TTEMSINGLES-----------QFNL000100--,,1,POINTS
1889177,TTEMSINGLES-----------SFNL000200--,,0,POINTS
1902295,TTEMSINGLES-----------SFNL000200--,,4,POINTS
1563390,TTEMSINGLES-----------SFNL000100--,,4,POINTS
1958377,TTEMSINGLES-----------SFNL000100--,,2,POINTS
1958377,TTEMSINGLES-----------FNL-000200--,,0,POINTS
1889177,TTEMSINGLES-----------FNL-000200--,,4,POINTS
1563390,TTEMSINGLES-----------FNL-000100--,,1,POINTS
1902295,TTEMSINGLES-----------FNL-000100--,,4,POINTS
1954539,TTEWSINGLES-----------R128006200--,,4,POINTS
1562136,TTEWSINGLES-----------R128006200--,,0,POINTS
1949834,TTEWSINGLES-----------R128001500--,,4,POINTS
1538059,TTEWSINGLES-----------R128001500--,,1,POINTS
1937626,TTEWSINGLES-----------R128003800--,,1,POINTS
1969562,TTEWSINGLES-----------R128003800--,,4,POINTS
1542954,TTEWSINGLES-----------R64-001000--,,0,POINTS
1930833,TTEWSINGLES-----------R64-001000--,,4,POINTS
1541477,TTEWSINGLES-----------R64-000700--,,4,POINTS
1556083,TTEWSINGLES-----------R64-000700--,,3,POINTS
